8 6.66488420853 4.70764578948 1.0 5.70314662637 2.3321353676 1.0 5.05307842676 -0.146856418847 1.0 4.72535371158 -2.68862459326 1.0 4.72535371158 -5.25143339249 1.0 5.05307842676 -7.7932015669 1.0 -5.25410021593 -2.04792239345 0.0 -5.25410021593 -5.8921355923 0.0 , -49.2273399145 4.42525969707 4.54852616021 -49.6859722169 3.95003489933 4.55372268475 
9 6.88073117007 6.29621606564 1.0 5.91899358791 3.92070564376 1.0 5.2689253883 1.44171385732 1.0 4.94120067311 -1.10005431709 1.0 4.94120067311 -3.66286311632 1.0 5.2689253883 -6.20463129074 1.0 -5.03825325439 -0.459352117287 0.0 -5.03825325439 -4.30356531613 0.0 -4.54666618161 -8.11621757775 0.0 , -49.576457372 2.82911444805 4.63765215944 -49.8867980643 2.3764010826 4.617189203 
8 6.02341041907 5.51414016968 1.0 5.37334221946 3.03514838324 1.0 5.04561750428 0.493380208827 1.0 5.04561750428 -2.0694285904 1.0 5.37334221946 -4.61119676482 1.0 6.02341041907 -7.09018855126 1.0 -4.93383642323 -2.71013079021 0.0 -4.44224935045 -6.52278305183 0.0 , -49.5743551102 1.18853088111 4.68477741666 -49.9874135596 0.793198337452 4.68065572126 
9 6.00052233838 7.10216422352 1.0 5.35045413877 4.62317243708 1.0 5.02272942359 2.08140426267 1.0 5.02272942359 -0.481404536563 1.0 5.35045413877 -3.02317271098 1.0 6.00052233838 -5.50216449742 1.0 -4.95672450392 -1.12210673637 0.0 -4.46513743114 -4.93475899799 0.0 -3.49003513173 -8.65324667766 0.0 , -49.4787663021 -0.329237038194 4.74891173951 -49.9874135596 -0.793198337452 4.74412223951 
8 5.2452224191 6.19931731219 1.0 4.91749770392 3.65754913778 1.0 4.91749770392 1.09474033855 1.0 5.2452224191 -1.44702783587 1.0 5.89529061871 -3.92601962231 1.0 6.85702820088 -6.30153004419 1.0 -4.57036915081 -3.35861412288 0.0 -3.5952668514 -7.07710180255 0.0 , -49.3262743722 -1.98161067624 4.81662216701 -49.8867980643 -2.3764010826 4.80758875777 
9 5.03843632488 7.75911538325 1.0 4.7107116097 5.21734720884 1.0 4.7107116097 2.65453840961 1.0 5.03843632488 0.112770235196 1.0 5.68850452449 -2.36622155125 1.0 6.65024210666 -4.74173197313 1.0 -4.77715524503 -1.79881605182 0.0 -3.80205294562 -5.51730373149 0.0 -2.35944657237 -9.0805693643 0.0 , -49.2956215276 -3.35113577071 4.85611892735 -49.6859722169 -3.95003489933 4.87105527602 
9 4.43386212463 6.79054077716 1.0 4.43386212463 4.22773197793 1.0 4.76158683981 1.68596380351 1.0 5.41165503942 -0.793027982931 1.0 6.37339262159 -3.16853840481 1.0 7.6310078818 -5.40156164667 1.0 -5.0540047301 -0.2256224835 0.0 -4.07890243069 -3.94411016317 0.0 -2.63629605744 -7.50737579599 0.0 , -48.9376060608 -5.0261599895 4.92081332826 -49.3857446721 -5.50776331966 4.93452179427 
9 4.02527152283 8.33912509889 1.0 4.02527152283 5.77631629966 1.0 4.35299623801 3.23454812525 1.0 5.00306443762 0.755556338802 1.0 5.96480201979 -1.61995408308 1.0 7.22241728 -3.85297732494 1.0 -4.48749303248 -2.39552584143 0.0 -3.04488665924 -5.95879147425 0.0 -1.15846376892 -9.30832633704 0.0 , -48.4038686173 -6.34460475237 4.99402915818 -48.9873243404 -7.04331392104 4.99798831253 
9 3.51286063998 7.26022884477 1.0 3.84058535517 4.71846067036 1.0 4.49065355477 2.23946888392 1.0 5.45239113694 -0.136041537962 1.0 6.71000639715 -2.36906477982 1.0 8.2428493276 -4.42293466177 1.0 -4.99990391533 -0.91161329632 0.0 -3.55729754209 -4.47487892914 0.0 -1.67087465177 -7.82441379193 0.0 , -48.0120903145 -8.27564398206 5.06347948884 -48.4923155196 -8.55050358314 5.06145483078 
9 2.95247354668 8.74708215642 1.0 3.28019826186 6.20531398201 1.0 3.93026646147 3.72632219556 1.0 4.89200404364 1.35081177368 1.0 6.14961930385 -0.882211468177 1.0 7.6824622343 -2.93608135012 1.0 -4.11768463539 -2.98802561749 0.0 -2.23126174507 -6.33756048028 0.0 0.0680026506118 -9.4183653032 0.0 , -47.3632342775 -9.5896092527 5.12618225302 -47.9027114358 -10.0232633852 5.12492134904 
9 2.59533252932 7.60868790026 1.0 3.24540072892 5.12969611382 1.0 4.20713831109 2.75418569194 1.0 5.4647535713 0.521162450077 1.0 6.99759650175 -1.53270743187 1.0 8.78049786391 -3.37369946722 1.0 -4.80255036794 -1.58465169924 0.0 -2.91612747762 -4.93418656203 0.0 -0.616863081937 -8.01499138495 0.0 , -46.7697203573 -10.8799737563 5.18860580268 -47.2208862164 -11.4556630432 5.18838786729 
